AllocCPUS%|%AllocNodes%|%CPUTimeRAW%|%End%|%ExitCode%|%Flags%|%Group%|%JobID%|%JobName%|%NCPUS%|%NNodes%|%NodeList%|%NTasks%|%Partition%|%ReqCPUS%|%ReqMem%|%ReqNodes%|%Start%|%State%|%Submit%|%SystemCPU%|%TimelimitRaw%|%TotalCPU%|%UserCPU%|%
576%|%4%|%165312%|%2024-08-25T23:14:32%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%100795%|%vasp%|%576%|%4%|%ncpn[35-38]%|%%|%arm576%|%576%|%895104M%|%0.00M%|%2024-08-25T23:09:45%|%COMPLETED%|%2024-08-25T22:47:59%|%21:23.161%|%2880%|%1-18:43:31%|%1-18:22:07%|%
144%|%1%|%41328%|%2024-08-25T23:14:32%|%0:0%|%%|%%|%100795.batch%|%batch%|%144%|%1%|%ncpn35%|%1%|%%|%144%|%%|%0.00M%|%2024-08-25T23:09:45%|%COMPLETED%|%2024-08-25T23:09:45%|%05:07.184%|%%|%10:40:58%|%10:35:51%|%
576%|%4%|%165312%|%2024-08-25T23:14:32%|%0:0%|%%|%%|%100795.extern%|%extern%|%576%|%4%|%ncpn[35-38]%|%4%|%%|%576%|%%|%0.00M%|%2024-08-25T23:09:45%|%COMPLETED%|%2024-08-25T23:09:45%|%00:00:00%|%%|%00:00.002%|%00:00.002%|%
432%|%3%|%123984%|%2024-08-25T23:14:32%|%0:0%|%%|%%|%100795.0%|%orted%|%432%|%3%|%ncpn[36-38]%|%3%|%%|%432%|%%|%0.00M%|%2024-08-25T23:09:45%|%COMPLETED%|%2024-08-25T23:09:45%|%16:15.977%|%%|%1-08:02:32%|%1-07:46:16%|%
448%|%0%|%0%|%Unknown%|%0:0%|%StartRecieved%|%example%|%100796%|%run.b.e21.B1850cmip6.f09_g17.CESM2-SF-BLC.001%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%Unknown%|%PENDING%|%2024-08-25T22:48:05%|%00:00:00%|%5760%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:35%|%0:0%|%StartRecieved%|%example%|%100798%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:51:10%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
448%|%0%|%0%|%2024-08-26T04:36:36%|%0:0%|%StartRecieved%|%example%|%100799%|%sbatch%|%448%|%4%|%None assigned%|%%|%ct448%|%448%|%1929984M%|%0.00M%|%None%|%CANCELLED by 18362%|%2024-08-25T22:51:18%|%00:00:00%|%Partition_Limit%|%00:00:00%|%00:00:00%|%
32%|%1%|%121408%|%2024-08-26T10:08:01%|%1:0%|%SchedBackfill,StartRecieved%|%example%|%100800%|%Ru_OH_NOH%|%32%|%1%|%icpnp107%|%%|%ct112%|%32%|%137856M%|%0.00M%|%2024-08-26T09:04:47%|%FAILED%|%2024-08-25T23:12:09%|%00:31.131%|%5760%|%1-09:24:58%|%1-09:24:27%|%
32%|%1%|%121408%|%2024-08-26T10:08:01%|%1:0%|%%|%%|%100800.batch%|%batch%|%32%|%1%|%icpnp107%|%1%|%%|%32%|%%|%0.00M%|%2024-08-26T09:04:47%|%FAILED%|%2024-08-26T09:04:47%|%00:00.078%|%%|%00:00.146%|%00:00.068%|%
32%|%1%|%121408%|%2024-08-26T10:08:01%|%0:0%|%%|%%|%100800.extern%|%extern%|%32%|%1%|%icpnp107%|%1%|%%|%32%|%%|%0.00M%|%2024-08-26T09:04:47%|%COMPLETED%|%2024-08-26T09:04:47%|%00:00:00%|%%|%00:00.001%|%00:00.001%|%
32%|%1%|%121376%|%2024-08-26T10:08:01%|%0:0%|%%|%%|%100800.0%|%hydra_bstrap_proxy%|%32%|%1%|%icpnp107%|%1%|%%|%32%|%%|%0.00M%|%2024-08-26T09:04:48%|%COMPLETED%|%2024-08-26T09:04:48%|%00:31.053%|%%|%1-09:24:58%|%1-09:24:27%|%
