AllocCPUS%|%AllocNodes%|%CPUTimeRAW%|%End%|%ExitCode%|%Flags%|%Group%|%JobID%|%JobName%|%NCPUS%|%NNodes%|%NodeList%|%NTasks%|%Partition%|%ReqCPUS%|%ReqMem%|%ReqNodes%|%Start%|%State%|%Submit%|%SystemCPU%|%TimelimitRaw%|%TotalCPU%|%UserCPU%|%
3584%|%32%|%401465344%|%2024-08-25T11:09:04%|%0:0%|%SchedBackfill,StartRecieved%|%example%|%97845%|%SB_1_100%%|%3584%|%32%|%icpnq[622-653]%|%%|%ct4k%|%3584%|%15439872M%|%0.00M%|%2024-08-24T04:02:08%|%COMPLETED%|%2024-08-20T02:01:55%|%63-22:52:11%|%2880%|%4587-15:35:27%|%4523-16:43:15%|%
112%|%1%|%12545792%|%2024-08-25T11:09:04%|%0:0%|%%|%%|%97845.batch%|%batch%|%112%|%1%|%icpnq622%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:08%|%COMPLETED%|%2024-08-24T04:02:08%|%00:05.551%|%%|%00:06.724%|%00:01.172%|%
3584%|%32%|%401468928%|%2024-08-25T11:09:05%|%0:0%|%%|%%|%97845.extern%|%extern%|%3584%|%32%|%icpnq[622-653]%|%32%|%%|%3584%|%%|%0.00M%|%2024-08-24T04:02:08%|%COMPLETED%|%2024-08-24T04:02:08%|%00:00.010%|%%|%00:00.022%|%00:00.011%|%
1792%|%16%|%18860800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.0%|%hydra_bstrap_proxy%|%1792%|%16%|%icpnq[622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652]%|%16%|%%|%1792%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%2-13:40:36%|%%|%216-23:18:29%|%214-09:37:52%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.1%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq639%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%02:44:20%|%%|%13-13:36:21%|%13-10:52:00%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.2%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq647%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%04:23:00%|%%|%13-13:21:12%|%13-08:58:11%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.3%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq649%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%06:26:51%|%%|%13-13:03:59%|%13-06:37:07%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.4%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq635%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%05:23:30%|%%|%13-13:14:30%|%13-07:50:59%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.5%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq633%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%03:42:01%|%%|%13-13:33:20%|%13-09:51:18%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.6%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq627%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%06:31:53%|%%|%13-13:04:35%|%13-06:32:41%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.7%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq625%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%04:22:42%|%%|%13-13:30:13%|%13-09:07:30%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.8%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq653%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%05:38:16%|%%|%13-13:01:57%|%13-07:23:41%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.9%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq631%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%02:04:28%|%%|%13-13:39:40%|%13-11:35:12%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.10%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq643%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%06:01:35%|%%|%13-13:09:50%|%13-07:08:14%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.11%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq637%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%03:54:51%|%%|%13-13:26:14%|%13-09:31:22%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.12%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq645%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%03:45:18%|%%|%13-13:28:15%|%13-09:42:56%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.13%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq623%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%31:00.587%|%%|%13-13:53:05%|%13-13:22:04%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.14%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq641%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%01:13:49%|%%|%13-13:48:24%|%13-12:34:35%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.15%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq629%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%04:04:23%|%%|%13-13:23:43%|%13-09:19:19%|%
112%|%1%|%1178800%|%2024-08-24T06:57:34%|%0:0%|%%|%%|%97845.16%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq651%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T04:02:09%|%COMPLETED%|%2024-08-24T04:02:09%|%03:54:00%|%%|%13-13:23:27%|%13-09:29:27%|%
1792%|%16%|%17353728%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.17%|%hydra_bstrap_proxy%|%1792%|%16%|%icpnq[622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652]%|%16%|%%|%1792%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%2-15:59:39%|%%|%199-13:43:38%|%196-21:43:59%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.18%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq637%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%02:27:39%|%%|%12-11:34:44%|%12-09:07:04%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.19%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq651%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%04:25:21%|%%|%12-11:14:57%|%12-06:49:36%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.20%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq623%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%01:09:04%|%%|%12-11:46:51%|%12-10:37:47%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.21%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq653%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%05:51:19%|%%|%12-10:57:25%|%12-05:06:05%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.22%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq639%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%05:03:30%|%%|%12-11:10:52%|%12-06:07:22%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.23%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq631%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%04:42:26%|%%|%12-11:14:40%|%12-06:32:13%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.24%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq633%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%02:37:23%|%%|%12-11:37:36%|%12-09:00:13%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.25%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq641%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%02:15:46%|%%|%12-11:34:58%|%12-09:19:12%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.26%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq629%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%05:28:18%|%%|%12-11:08:40%|%12-05:40:21%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.27%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq625%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%04:58:03%|%%|%12-11:13:17%|%12-06:15:14%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.28%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq627%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%06:20:41%|%%|%12-11:02:16%|%12-04:41:34%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.29%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq645%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%01:01:13%|%%|%12-11:46:05%|%12-10:44:51%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.30%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq649%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%05:49:48%|%%|%12-11:05:39%|%12-05:15:50%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.31%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq643%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%04:46:40%|%%|%12-11:15:26%|%12-06:28:45%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.32%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq635%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%05:16:31%|%%|%12-11:12:28%|%12-05:55:56%|%
112%|%1%|%1084608%|%2024-08-24T09:40:09%|%0:0%|%%|%%|%97845.33%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq647%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T06:58:45%|%COMPLETED%|%2024-08-24T06:58:45%|%04:56:23%|%%|%12-11:11:27%|%12-06:15:04%|%
1792%|%16%|%21048832%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.34%|%hydra_bstrap_proxy%|%1792%|%16%|%icpnq[622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652]%|%16%|%%|%1792%|%%|%0.00M%|%2024-08-24T09:41:19%|%COMPLETED%|%2024-08-24T09:41:19%|%3-07:25:47%|%%|%242-01:28:07%|%238-18:02:19%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.35%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq641%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%07:42:49%|%%|%15-02:46:33%|%14-19:03:43%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.36%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq633%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%05:27:18%|%%|%15-03:01:05%|%14-21:33:46%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.37%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq649%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%04:42:46%|%%|%15-03:08:03%|%14-22:25:16%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.38%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq629%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%05:20:51%|%%|%15-02:58:49%|%14-21:37:58%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.39%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq639%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%05:22:00%|%%|%15-03:02:27%|%14-21:40:26%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.40%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq635%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%05:52:18%|%%|%15-02:56:12%|%14-21:03:54%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.41%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq643%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%05:40:34%|%%|%15-02:59:55%|%14-21:19:21%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.42%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq623%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%05:19:22%|%%|%15-03:03:38%|%14-21:44:16%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.43%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq651%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%04:39:45%|%%|%15-03:05:08%|%14-22:25:23%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.44%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq647%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%01:19:59%|%%|%15-03:34:18%|%15-02:14:18%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.45%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq631%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%04:56:06%|%%|%15-03:05:19%|%14-22:09:13%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.46%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq627%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%06:03:42%|%%|%15-02:57:42%|%14-20:54:00%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.47%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq653%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%07:39:48%|%%|%15-02:34:18%|%14-18:54:29%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.48%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq645%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%05:30:47%|%%|%15-03:01:12%|%14-21:30:25%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.49%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq637%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%04:03:46%|%%|%15-03:07:24%|%14-23:03:38%|%
112%|%1%|%1315440%|%2024-08-24T12:57:05%|%0:0%|%%|%%|%97845.50%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq625%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T09:41:20%|%COMPLETED%|%2024-08-24T09:41:20%|%03:30:06%|%%|%15-03:21:12%|%14-23:51:06%|%
1792%|%16%|%19973632%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.51%|%hydra_bstrap_proxy%|%1792%|%16%|%icpnq[622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652]%|%16%|%%|%1792%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%3-07:09:42%|%%|%229-16:09:02%|%226-08:59:20%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.52%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq637%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%05:27:40%|%%|%14-08:24:22%|%14-02:56:42%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.53%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq653%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%06:40:34%|%%|%14-08:08:04%|%14-01:27:30%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.54%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq635%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%05:15:06%|%%|%14-08:27:25%|%14-03:12:19%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.55%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq625%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%04:02:22%|%%|%14-08:42:09%|%14-04:39:46%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.56%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq651%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%05:27:01%|%%|%14-08:27:24%|%14-03:00:22%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.57%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq627%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%05:21:36%|%%|%14-08:28:01%|%14-03:06:24%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.58%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq645%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%02:40:17%|%%|%14-08:50:35%|%14-06:10:18%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.59%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq649%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%05:56:39%|%%|%14-08:24:17%|%14-02:27:38%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.60%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq631%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%05:00:15%|%%|%14-08:29:22%|%14-03:29:07%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.61%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq629%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%04:59:12%|%%|%14-08:29:02%|%14-03:29:50%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.62%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq643%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%06:16:14%|%%|%14-08:20:43%|%14-02:04:29%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.63%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq623%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%04:54:39%|%%|%14-08:33:29%|%14-03:38:49%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.64%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq647%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%05:11:13%|%%|%14-08:24:43%|%14-03:13:30%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.65%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq633%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%05:54:16%|%%|%14-08:26:51%|%14-02:32:34%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.66%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq641%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%04:13:17%|%%|%14-08:41:33%|%14-04:28:15%|%
112%|%1%|%1248352%|%2024-08-24T16:04:02%|%0:0%|%%|%%|%97845.67%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq639%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T12:58:16%|%COMPLETED%|%2024-08-24T12:58:16%|%05:42:53%|%%|%14-08:24:54%|%14-02:42:00%|%
1792%|%16%|%20131328%|%2024-08-24T19:12:26%|%0:0%|%%|%%|%97845.68%|%hydra_bstrap_proxy%|%1792%|%16%|%icpnq[622,624,626,628,630,632,634,636,638,640,642,644,646,648,650,652]%|%16%|%%|%1792%|%%|%0.00M%|%2024-08-24T16:05:12%|%COMPLETED%|%2024-08-24T16:05:12%|%3-08:48:39%|%%|%231-11:36:55%|%228-02:48:16%|%
112%|%1%|%1258096%|%2024-08-24T19:12:26%|%0:0%|%%|%%|%97845.69%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq641%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T16:05:13%|%COMPLETED%|%2024-08-24T16:05:13%|%06:17:34%|%%|%14-11:07:30%|%14-04:49:55%|%
112%|%1%|%1258096%|%2024-08-24T19:12:26%|%0:0%|%%|%%|%97845.70%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq625%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T16:05:13%|%COMPLETED%|%2024-08-24T16:05:13%|%06:41:29%|%%|%14-11:00:18%|%14-04:18:48%|%
112%|%1%|%1258096%|%2024-08-24T19:12:26%|%0:0%|%%|%%|%97845.71%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq629%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T16:05:13%|%COMPLETED%|%2024-08-24T16:05:13%|%04:38:57%|%%|%14-11:12:43%|%14-06:33:46%|%
112%|%1%|%1258096%|%2024-08-24T19:12:26%|%0:0%|%%|%%|%97845.72%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq647%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T16:05:13%|%COMPLETED%|%2024-08-24T16:05:13%|%03:20:58%|%%|%14-11:29:37%|%14-08:08:38%|%
112%|%1%|%1258096%|%2024-08-24T19:12:26%|%0:0%|%%|%%|%97845.73%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq653%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T16:05:13%|%COMPLETED%|%2024-08-24T16:05:13%|%05:35:54%|%%|%14-10:57:44%|%14-05:21:50%|%
112%|%1%|%1258096%|%2024-08-24T19:12:26%|%0:0%|%%|%%|%97845.74%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq643%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T16:05:13%|%COMPLETED%|%2024-08-24T16:05:13%|%05:02:18%|%%|%14-11:14:28%|%14-06:12:09%|%
112%|%1%|%1258096%|%2024-08-24T19:12:26%|%0:0%|%%|%%|%97845.75%|%hydra_bstrap_proxy%|%112%|%1%|%icpnq649%|%1%|%%|%112%|%%|%0.00M%|%2024-08-24T16:05:13%|%COMPLETED%|%2024-08-24T16:05:13%|%06:18:23%|%%|%14-11:04:02%|%14-04:45:39%|%
